Sample description: chromixs
Sample: chromixs  c= 0 mg/ml  Code: chromixs
 9.238695e-002  1.841843e-002  9.203116e-004
 9.308408e-002  1.890349e-002  9.189291e-004
 9.378122e-002  1.810882e-002  9.148910e-004
 9.447835e-002  1.811403e-002  9.044442e-004
 9.517548e-002  1.780485e-002  8.971017e-004
 9.587261e-002  1.654783e-002  9.025502e-004
 9.656973e-002  1.684630e-002  8.997288e-004
 9.726685e-002  1.595067e-002  8.959057e-004
 9.796397e-002  1.528207e-002  8.812328e-004
 9.866109e-002  1.609232e-002  8.814903e-004
 9.935820e-002  1.572776e-002  8.748309e-004
 1.000553e-001  1.484828e-002  8.705532e-004
 1.007524e-001  1.390644e-002  8.722391e-004
 1.014495e-001  1.407621e-002  8.625934e-004
 1.021466e-001  1.362756e-002  8.669894e-004
 1.028437e-001  1.368610e-002  8.559789e-004
 1.035408e-001  1.318299e-002  8.528027e-004
 1.042379e-001  1.245937e-002  8.435889e-004
 1.049350e-001  1.207134e-002  8.518153e-004
 1.056321e-001  1.228146e-002  8.442552e-004
 1.063292e-001  1.130790e-002  8.516811e-004
 1.070262e-001  1.128105e-002  8.500583e-004
 1.077233e-001  1.204189e-002  8.561751e-004
 1.084204e-001  1.080254e-002  8.700034e-004
 1.091175e-001  1.071914e-002  8.799609e-004
 1.098145e-001  1.016419e-002  9.038712e-004
 1.105116e-001  1.129531e-002  9.267667e-004
 1.112086e-001  9.581611e-003  9.300285e-004
 1.119057e-001  9.553684e-003  9.195538e-004
 1.126028e-001  9.333368e-003  9.155574e-004
 1.132998e-001  9.786192e-003  9.051938e-004
 1.139969e-001  9.684578e-003  8.961118e-004
 1.146939e-001  9.269661e-003  8.818463e-004
 1.153909e-001  9.275674e-003  8.832374e-004
 1.160880e-001  8.952370e-003  8.713056e-004
 1.167850e-001  7.932414e-003  8.615801e-004
 1.174820e-001  7.805190e-003  8.481564e-004
 1.181790e-001  7.935361e-003  8.474227e-004
 1.188761e-001  8.228568e-003  8.390580e-004
 1.195731e-001  7.621386e-003  8.359211e-004
 1.202701e-001  7.084152e-003  8.252456e-004
 1.209671e-001  7.271017e-003  8.218166e-004
 1.216641e-001  7.606478e-003  8.185818e-004
 1.223611e-001  7.129810e-003  8.076047e-004
 1.230581e-001  6.821867e-003  8.065772e-004
 1.237551e-001  6.826653e-003  7.973956e-004
 1.244521e-001  6.809300e-003  7.965225e-004
 1.251491e-001  6.250632e-003  7.932010e-004
 1.258461e-001  6.685859e-003  7.971184e-004
 1.265431e-001  6.561844e-003  7.794422e-004
 1.272401e-001  6.394427e-003  7.791737e-004
 1.279370e-001  6.552660e-003  7.707380e-004
 1.286340e-001  6.096097e-003  7.757648e-004
 1.293310e-001  6.530066e-003  7.734379e-004
 1.300279e-001  6.748371e-003  7.734887e-004
 1.307249e-001  6.148688e-003  7.690312e-004
 1.314219e-001  5.599868e-003  7.640728e-004
 1.321188e-001  6.920711e-003  7.581138e-004
 1.328158e-001  5.477618e-003  7.596467e-004
 1.335127e-001  5.524858e-003  7.556663e-004
 1.342096e-001  5.547411e-003  7.579539e-004
 1.349066e-001  6.459241e-003  7.564795e-004
 1.356035e-001  6.274316e-003  7.473882e-004
 1.363004e-001  4.838539e-003  7.493368e-004
 1.369974e-001  4.597254e-003  7.481803e-004
 1.376943e-001  5.121686e-003  7.428528e-004
 1.383912e-001  4.784254e-003  7.424639e-004
 1.390881e-001  4.337857e-003  7.427736e-004
 1.397850e-001  4.614982e-003  7.367093e-004
 1.404819e-001  4.659972e-003  7.397155e-004
 1.411788e-001  4.485631e-003  7.347687e-004
 1.418757e-001  5.090683e-003  7.352138e-004
 1.425726e-001  4.218545e-003  7.282531e-004
 1.432695e-001  4.945187e-003  7.283067e-004
 1.439664e-001  4.260236e-003  7.234042e-004
 1.446633e-001  4.460199e-003  7.212943e-004
 1.453601e-001  4.728750e-003  7.216071e-004
 1.460570e-001  4.535290e-003  7.160378e-004
 1.467539e-001  4.019857e-003  7.103020e-004
 1.474507e-001  4.150895e-003  7.105384e-004
 1.481476e-001  3.860734e-003  7.104269e-004
 1.488444e-001  3.792561e-003  7.026203e-004
 1.495413e-001  4.490665e-003  7.035272e-004
 1.502381e-001  4.138470e-003  6.976115e-004
 1.509350e-001  3.684040e-003  6.985539e-004
 1.516318e-001  4.595588e-003  6.927548e-004
 1.523286e-001  3.374785e-003  9.702444e-004
 1.530255e-001  3.763462e-003  6.910248e-004
 1.537223e-001  4.659056e-003  6.884488e-004
 1.544191e-001  3.784918e-003  6.886223e-004
 1.551159e-001  3.637618e-003  6.847158e-004
 1.558127e-001  3.526733e-003  6.848844e-004
 1.565095e-001  3.790048e-003  6.872528e-004
 1.572063e-001  3.811047e-003  6.800076e-004
 1.579031e-001  2.548990e-003  6.826974e-004
 1.585999e-001  3.470926e-003  6.804588e-004
 1.592967e-001  4.391425e-003  6.790414e-004
 1.599935e-001  3.795198e-003  6.755334e-004
 1.606903e-001  3.983369e-003  6.788836e-004
 1.613870e-001  3.564321e-003  6.719548e-004
 1.620838e-001  3.290296e-003  6.754636e-004
 1.627805e-001  4.458374e-003  6.758045e-004
 1.634773e-001  3.345624e-003  6.633384e-004
 1.641740e-001  3.070514e-003  6.692251e-004
 1.648708e-001  3.120432e-003  6.650842e-004
 1.655675e-001  3.556635e-003  6.649737e-004
 1.662643e-001  3.040994e-003  6.636089e-004
 1.669610e-001  2.906797e-003  6.663227e-004
 1.676577e-001  3.036749e-003  6.558017e-004
