# Diamond Light Source Ltd.
# Non Crystalline Diffraction Results Export File
# Data extracted from file: /dls/b21/data/2014/sm9384-1/processing/results_b21-7734_detector_070314_132234.nxs
# Dataset name: /entry1/detector_processing/Average/data
# Title: Sample: HSP18.1 (Location   I A  2)
# Scan command: static readout
# q(1/A)      	Column      	Error       	
0.042901367 	1.6574815e-09	2.2109231e-12
0.043176167 	1.6378323e-09	2.1923748e-12
0.043450966 	1.6177554e-09	2.1729929e-12
0.043725763 	1.5926382e-09	2.1501813e-12
0.044000562 	1.5690392e-09	2.1282347e-12
0.044275362 	1.5477513e-09	2.1066334e-12
0.044550162 	1.5296533e-09	2.0906352e-12
0.044824962 	1.5098875e-09	2.0693074e-12
0.045099758 	1.4997915e-09	2.0613012e-12
0.045374557 	1.4760122e-09	2.0972989e-12
0.045649357 	1.4525404e-09	2.1424167e-12
0.045924157 	1.4296161e-09	2.1679156e-12
0.046198957 	1.4103130e-09	2.1856024e-12
0.046473756 	1.3915661e-09	2.1984435e-12
0.046748552 	1.3718082e-09	2.2078619e-12
0.047023352 	1.3491654e-09	2.2130566e-12
0.047298152 	1.3297157e-09	2.2189236e-12
0.047572952 	1.3090969e-09	2.2234465e-12
0.047847752 	1.2852552e-09	2.2241863e-12
0.048122548 	1.2676953e-09	2.2269758e-12
0.048397347 	1.2518401e-09	2.2328727e-12
0.048672147 	1.2314931e-09	2.2299534e-12
0.048946947 	1.2102190e-09	2.2296659e-12
0.049221747 	1.1915483e-09	2.2286316e-12
0.049496543 	1.1706528e-09	2.2248371e-12
0.049771342 	1.1504990e-09	2.2202548e-12
0.050046142 	1.1471911e-09	2.1398415e-12
0.050320942 	1.1296063e-09	2.0454138e-12
0.050595742 	1.1110397e-09	1.9887343e-12
0.050870538 	1.0881073e-09	1.9382931e-12
0.051145338 	1.0694727e-09	1.9010032e-12
0.051420137 	1.0511065e-09	1.8638862e-12
0.051694937 	1.0303349e-09	1.8293431e-12
0.051969737 	1.0126922e-09	1.8023679e-12
0.052244537 	9.9423281e-10	1.7710686e-12
0.052519333 	9.8045627e-10	1.7485846e-12
0.052794132 	9.6576025e-10	1.7227966e-12
0.053068932 	9.4776853e-10	1.6985506e-12
0.053343732 	9.3051239e-10	1.6719707e-12
0.053618532 	9.1171670e-10	1.6480280e-12
0.053893328 	8.9996421e-10	1.6313070e-12
0.054168127 	8.8474239e-10	1.6084853e-12
0.054442927 	8.6721536e-10	1.5865073e-12
0.054717727 	8.5091234e-10	1.5643567e-12
0.054992527 	8.3494173e-10	1.5419814e-12
0.055267323 	8.1824675e-10	1.5218993e-12
0.055542123 	8.0099444e-10	1.5004826e-12
0.055816922 	7.9031426e-10	1.4861127e-12
0.056091722 	7.7498091e-10	1.4646602e-12
0.056366522 	7.5985501e-10	1.4471176e-12
0.056641318 	7.4499268e-10	1.4274723e-12
0.056916118 	7.2952394e-10	1.4084512e-12
0.057190917 	7.1692391e-10	1.3922654e-12
0.057465717 	7.0496570e-10	1.3759369e-12
0.057740517 	6.8964023e-10	1.3580047e-12
0.058015317 	6.7689182e-10	1.3408196e-12
0.058290113 	6.6621669e-10	1.3267692e-12
0.058564913 	6.5054423e-10	1.3092952e-12
0.058839712 	6.3624067e-10	1.2909854e-12
0.059114512 	6.2210243e-10	1.2736687e-12
0.059389312 	6.1149169e-10	1.2609431e-12
0.059664108 	5.9860700e-10	1.2440968e-12
0.059938908 	5.8535143e-10	1.2264216e-12
0.060213707 	5.7578653e-10	1.2145111e-12
0.060488507 	5.6338123e-10	1.2009525e-12
0.060763307 	5.5019839e-10	1.1827017e-12
0.061038103 	5.4065313e-10	1.1706819e-12
0.061312903 	5.2994537e-10	1.1570404e-12
0.061587702 	5.1670518e-10	1.1377095e-12
0.061862502 	5.0472310e-10	1.1256865e-12
0.062137302 	4.9415028e-10	1.1128464e-12
0.062412098 	4.8229781e-10	1.0960322e-12
0.062686898 	4.7385323e-10	1.0819616e-12
0.062961698 	4.6156884e-10	1.0673064e-12
0.063236497 	4.5164480e-10	1.0552499e-12
0.063511297 	4.4177156e-10	1.0430283e-12
0.063786097 	4.3069071e-10	1.0298263e-12
0.064060897 	4.2041767e-10	1.0154893e-12
0.064335696 	4.1211631e-10	1.0041979e-12
0.064610489 	4.0319345e-10	9.9201582e-13
0.064885288 	3.9402112e-10	9.7986777e-13
0.065160088 	3.8443304e-10	9.6702377e-13
0.065434888 	3.7529072e-10	9.5393366e-13
0.065709688 	3.6675671e-10	9.4234299e-13
0.065984488 	3.5745309e-10	9.2878255e-13
0.066259287 	3.4956635e-10	9.1853294e-13
0.066534087 	3.3975717e-10	9.0619379e-13
0.066808887 	3.3284392e-10	8.9622000e-13
0.067083687 	3.2359301e-10	8.8255195e-13
0.067358486 	3.1660091e-10	8.7285740e-13
0.067633279 	3.1053493e-10	8.6398667e-13
0.067908078 	3.0107189e-10	8.5085872e-13
0.068182878 	2.9342992e-10	8.4050784e-13
0.068457678 	2.8618805e-10	8.3037358e-13
0.068732478 	2.7735683e-10	8.1779044e-13
0.069007277 	2.7098121e-10	8.0873790e-13
0.069282077 	2.6439353e-10	7.9836685e-13
0.069556877 	2.5739319e-10	7.8676941e-13
0.069831677 	2.5159291e-10	7.7920580e-13
0.070106477 	2.4586866e-10	7.7079006e-13
0.070381269 	2.3870528e-10	7.5912464e-13
0.070656069 	2.3333721e-10	7.4972889e-13
0.070930868 	2.2579434e-10	7.3954878e-13
0.071205668 	2.2039094e-10	7.3120378e-13
0.071480468 	2.1415085e-10	7.2292644e-13
0.071755268 	2.0966914e-10	7.1507215e-13
0.072030067 	2.0254202e-10	7.0422270e-13
0.072304867 	1.9704285e-10	6.9827987e-13
0.072579667 	1.9335232e-10	6.9230044e-13
0.072854467 	1.8703437e-10	6.8306547e-13
0.073129267 	1.8275921e-10	6.7664038e-13
0.073404059 	1.7829736e-10	6.7004226e-13
0.073678859 	1.7249570e-10	6.6149511e-13
0.073953658 	1.6862413e-10	6.5529548e-13
0.074228458 	1.6410380e-10	6.4749719e-13
0.074503258 	1.5867237e-10	6.3922099e-13
0.074778058 	1.5432730e-10	6.3108058e-13
0.075052857 	1.4952059e-10	6.2239244e-13
0.075327657 	1.4585282e-10	6.1538150e-13
0.075602457 	1.4153420e-10	6.0825710e-13
0.075877257 	1.3853974e-10	6.0272105e-13
