# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.23100001 296899.37500000 12398.51855469
0.23200001 291509.62500000 14263.56640625
0.23300001 286221.46875000 11051.01171875
0.23400001 281029.09375000 11887.53125000
0.23500001 275924.03125000 10744.48242188
0.23600002 270927.25000000 11557.75683594
0.23700002 266031.93750000 10447.07519531
0.23800001 261243.75000000 13111.82421875
0.23900001 256549.31250000 12930.08593750
0.24000001 251969.68750000 10019.57519531
0.24100001 247504.48437500 8984.41308594
0.24200001 243140.98437500 13293.73437500
0.24300002 238889.56250000 11366.36621094
0.24400002 234748.93750000 13803.23828125
0.24500000 230718.04687500 11918.89453125
0.24600001 226803.65625000 10083.69042969
0.24700001 223005.85937500 8295.81835938
0.24800001 219321.54687500 9010.82617188
0.24900001 215750.81250000 10517.85253906
0.25000000 212296.70312500 11190.15917969
0.25100002 208958.95312500 9478.37890625
0.25200000 205747.26562500 7808.10888672
0.25300002 202640.65625000 7720.60986328
0.25400001 199653.67187500 8400.42871094
0.25500003 196785.64062500 9067.88281250
0.25600001 194031.12500000 9723.87011719
0.25700000 191388.78125000 8147.42041016
0.25800002 188862.62500000 11005.96972656
0.25900000 186449.60937500 7998.68847656
0.26000002 184150.25000000 11535.17285156
0.26100001 181952.31250000 9295.94433594
0.26200002 179876.35937500 7096.12304688
0.26300001 177888.25000000 11975.43750000
0.26400000 176016.15625000 8395.97070312
0.26500002 174243.37500000 7647.54199219
0.26600000 172569.73437500 8984.84375000
0.26700002 170997.73437500 7561.52050781
0.26800001 169518.79687500 7524.09179688
0.26900002 168126.93750000 8851.88378906
0.27000001 166830.21875000 6781.64843750
0.27100003 165614.82812500 7432.79443359
0.27200001 164496.29687500 8756.96093750
0.27300000 163440.73437500 10076.12109375
0.27400002 162459.84375000 6701.46923828
0.27500001 161563.84375000 6688.74316406
0.27600002 160724.98437500 7345.93603516
0.27700001 159961.75000000 6670.40527344
0.27800003 159259.93750000 7998.03466797
0.27900001 158612.98437500 8660.26953125
0.28000000 158023.59375000 7992.83349609
0.28100002 157485.95312500 9326.31835938
0.28200001 157000.68750000 7997.61523438
0.28300002 156554.04687500 8003.04345703
0.28400001 156150.64062500 10680.70410156
0.28500003 155785.26562500 9356.46386719
0.28600001 155454.03125000 10038.44433594
0.28700000 155148.82812500 8713.15820312
0.28800002 154876.34375000 8056.66796875
0.28900000 154623.60937500 8071.35253906
0.29000002 154393.00000000 7413.18066406
0.29100001 154180.65625000 8103.73535156
0.29200003 153984.35937500 6767.61328125
0.29300001 153800.48437500 9495.64257812
0.29400000 153618.90625000 7477.40039062
0.29500002 153451.23437500 7494.55859375
0.29600000 153277.84375000 8194.23339844
0.29700002 153104.95312500 8896.92968750
0.29800001 152937.53125000 7545.17333984
0.29900002 152767.18750000 8249.42871094
0.30000001 152584.96875000 9644.89648438
0.30100003 152396.90625000 6903.58056641
0.30200002 152198.59375000 7609.16894531
0.30300000 151991.87500000 8316.99511719
0.30400002 151771.85937500 9026.63183594
0.30500001 151530.93750000 7650.79736328
0.30600002 151274.79687500 11842.54882812
0.30700001 151009.71875000 9767.30859375
0.30800003 150721.56250000 8383.13378906
0.30900002 150414.53125000 7693.70361328
0.31000000 150088.34375000 7701.78320312
0.31100002 149744.09375000 7708.82666016
0.31200001 149375.04687500 11221.05371094
0.31300002 148990.85937500 7719.21679688
0.31400001 148581.95312500 9828.69628906
0.31500003 148151.42187500 7022.37792969
0.31600001 147700.39062500 7725.46923828
0.31700000 147231.46875000 9129.82324219
0.31800002 146734.39062500 9127.61328125
0.31900001 146227.56250000 9124.59960938
0.32000002 145692.00000000 8418.08398438
0.32100001 145140.87500000 9814.42578125
0.32200003 144570.42187500 10506.65625000
0.32300001 143979.01562500 6997.38037109
0.32400000 143371.56250000 7688.30029297
0.32500002 142745.51562500 10470.38378906
0.32600001 142100.93750000 9758.07128906
0.32700002 141445.28125000 8350.92968750
0.32800001 140777.15625000 11115.76464844
0.32900003 140092.34375000 9014.94335938
0.33000001 139396.37500000 7613.13330078
0.33100003 138688.39062500 6906.68261719
0.33200002 137975.04687500 11716.15136719
0.33300000 137245.85937500 6876.01757812
0.33400002 136514.34375000 8231.81542969
0.33500001 135773.87500000 8211.60449219
0.33600003 135025.67187500 11603.43164062
0.33700001 134275.95312500 10211.68652344
0.33800003 133520.43750000 6789.51464844
0.33900002 132763.40625000 7448.02734375
0.34000000 132003.28125000 7427.16455078
0.34100002 131244.60937500 8752.70312500
0.34200001 130492.10937500 8727.96484375
0.34300002 129735.94531250 9372.12500000
0.34400001 128987.35156250 8010.11474609
0.34500003 128240.58593750 10649.09960938
0.34600002 127502.95312500 7300.18212891
0.34700000 126767.89843750 6617.28417969
0.34800002 126039.53906250 7257.98730469
0.34900001 125321.54687500 11842.88671875
0.35000002 124611.02343750 8529.00195312
0.35100001 123915.04687500 7196.98632812
0.35200003 123223.53906250 7177.15576172
0.35300002 122544.84375000 8459.27050781
0.35400000 121879.69531250 8437.12207031
0.35500002 121227.26562500 7120.89013672
0.35600001 120588.26562500 9686.25292969
0.35700002 119965.17187500 7730.55615234
0.35800001 119357.52343750 6427.40283203
0.35900003 118763.10156250 8978.49121094
0.36000001 118188.78906250 8959.89257812
0.36100003 117626.60156250 6387.12500000
0.36200002 117088.85156250 8288.13476562
0.36300001 116563.21875000 7637.22216797
0.36400002 116052.89062500 8895.45507812
0.36500001 115559.45312500 6978.63574219
0.36600003 115094.70312500 6969.56005859
0.36700001 114639.82812500 7593.74267578
0.36800003 114212.50781250 8218.16210938
0.36900002 113805.18750000 8842.66308594
0.37000000 113406.28125000 7573.27148438
0.37100002 113030.68750000 8199.24609375
0.37200001 112681.41406250 6934.97802734
0.37300003 112345.64843750 10714.40527344
0.37400001 112037.42968750 8192.73730469
0.37500003 111750.73437500 6933.01611328
0.37600002 111477.37500000 9456.06835938
0.37700000 111226.17968750 10090.43945312
0.37800002 111000.78906250 6941.43457031
0.37900001 110792.50781250 7578.20751953
0.38000003 110606.04687500 8217.47656250
0.38100001 110438.32031250 7593.73925781
0.38200003 110292.00781250 6969.90380859
0.38300002 110163.71875000 6979.97363281
0.38400000 110060.41406250 9533.98339844
0.38500002 109971.77343750 8277.57617188
0.38600001 109910.78906250 7656.38574219
0.38700002 109860.13281250 8312.01855469
0.38800001 109833.61718750 9613.18750000
0.38900003 109825.53906250 7067.27392578
0.39000002 109839.52343750 7086.29736328
0.39100003 109871.31250000 9044.60742188
0.39200002 109923.23437500 7127.97265625
0.39300001 109987.72656250 7150.30224609
0.39400002 110078.48437500 7174.36572266
0.39500001 110180.21875000 9162.58691406
0.39600003 110299.52343750 6568.33691406
0.39700001 110438.46093750 7252.49414062
0.39800003 110593.05468750 7280.89453125
0.39900002 110764.87500000 7975.07128906
0.40000001 110952.10937500 8008.52343750
0.40100002 111148.77343750 7372.49853516
0.40200001 111366.61718750 7405.32324219
0.40300003 111593.49218750 10143.84863281
0.40400001 111838.39062500 7473.60058594
0.40500003 112093.53125000 6826.49658203
0.40600002 112368.47656250 8232.11523438
0.40700001 112646.25781250 6893.95117188
0.40800002 112937.45312500 11778.81250000
0.40900001 113238.36718750 9749.82324219
0.41000003 113553.32812500 8400.67578125
0.41100001 113875.11718750 7741.23095703
0.41200003 114201.81250000 7782.28320312
0.41300002 114541.19531250 9958.21191406
0.41400003 114885.73437500 7866.80126953
0.41500002 115238.45312500 8629.05566406
0.41600001 115589.82031250 9399.18652344
0.41700003 115952.64843750 7270.23144531
0.41800001 116320.41406250 8041.81201172
0.41900003 116683.39843750 10291.47656250
0.42000002 117055.39843750 14044.89257812
0.42100003 117427.42968750 9663.10351562
0.42200002 117800.92187500 9716.80957031
0.42300001 118171.34375000 8267.26757812
0.42400002 118539.11718750 9068.24316406
0.42500001 118908.42968750 7598.24902344
0.42600003 119271.76562500 7639.35693359
0.42700002 119634.34375000 8448.57812500
0.42800003 119990.44531250 9265.66308594
0.42900002 120343.37500000 8538.36328125
0.43000001 120687.17968750 8582.66894531
0.43100002 121021.39843750 10194.84277344
0.43200001 121352.09375000 11822.72851562
0.43300003 121671.17187500 9504.95214844
0.43400002 121979.89843750 10346.94531250
0.43500003 122276.42968750 11995.31835938
0.43600002 122570.79687500 8837.96777344
0.43700001 122844.69531250 11299.25488281
0.43800002 123105.04687500 12159.70117188
0.43900001 123354.14843750 8955.51171875
0.44000003 123590.21093750 8993.04199219
0.44100001 123808.19531250 11491.87695312
0.44200003 124014.35937500 11537.05664062
0.44300002 124202.50000000 15716.58496094
0.44400004 124375.11718750 11622.85546875
0.44500002 124524.58593750 11662.97363281
0.44600001 124659.31250000 10030.08886719
0.44700003 124778.44531250 12577.66796875
0.44800001 124877.00000000 10933.60644531
0.44900003 124955.77343750 9277.96679688
0.45000002 125021.50781250 10149.24609375
0.45100003 125057.04687500 10174.64257812
0.45200002 125077.92968750 11048.75976562
0.45300001 125078.60937500 9369.63867188
0.45400003 125059.92187500 10242.40820312
0.45500001 125020.23437500 11971.93750000
0.45600003 124959.00781250 9422.53417969
0.45700002 124877.20312500 9436.97070312
0.45800003 124777.39843750 11168.20214844
0.45900002 124654.84375000 10321.42187500
0.46000001 124518.25781250 8610.43750000
0.46100003 124351.43750000 12926.33300781
0.46200001 124174.14843750 9486.28417969
0.46300003 123971.20312500 11216.91503906
0.46400002 123754.83593750 12947.85058594
0.46500003 123517.47656250 9497.25976562
0.46600002 123263.09375000 11224.95410156
0.46700001 122987.32031250 10360.45214844
0.46800002 122699.05468750 8631.87890625
0.46900001 122390.85937500 11217.12207031
0.47000003 122067.19531250 9486.45312500
0.47100002 121730.32812500 9480.35839844
0.47200003 121378.08593750 13778.84082031
0.47300002 121012.91406250 10324.82226562
0.47400004 120631.18750000 12892.45898438
0.47500002 120240.50781250 11160.72460938
0.47600001 119841.14843750 9432.09765625
0.47700003 119422.11718750 9418.82324219
0.47800002 119000.49218750 10260.22265625
0.47900003 118571.43750000 10244.57324219
0.48000002 118129.12500000 11079.92187500
0.48100004 117686.62500000 9359.61816406
0.48200002 117228.61718750 9342.53515625
0.48300001 116769.96093750 8477.49902344
0.48400003 116310.11718750 10153.87402344
0.48500001 115844.90625000 10978.62207031
0.48600003 115379.76562500 10957.04003906
0.48700002 114911.89843750 11776.17187500
0.48800004 114441.26562500 11751.97460938
0.48900002 113973.15625000 11727.83789062
0.49000001 113508.03125000 10867.82714844
0.49100003 113046.83593750 8342.85742188
0.49200001 112587.86718750 9158.45996094
0.49300003 112134.59375000 11632.84375000
0.49400002 111685.06250000 8292.61621094
0.49500003 111242.38281250 9931.72070312
0.49600002 110811.00000000 8260.95996094
0.49700001 110382.78906250 10719.27246094
0.49800003 109967.58593750 9877.28906250
0.49900001 109559.65625000 9860.36914062
0.50000000 109164.28906250 9844.43554688
